"id_category";"id_product";"position"
"50";"1048";"70"
"50";"1644";"71"
"50";"993";"72"
"50";"826";"73"
"50";"827";"75"
"50";"815";"76"
"50";"820";"77"
"50";"875";"77"
"50";"1035";"78"
"50";"368";"79"
"50";"1462";"80"
"50";"1120";"81"
"50";"1476";"82"
"50";"1332";"83"
"50";"1354";"84"
"50";"1110";"85"
"50";"1355";"86"
"50";"1396";"87"
"50";"1648";"88"
"50";"1647";"89"
"50";"988";"90"
"50";"859";"91"
"50";"1793";"92"
"50";"858";"93"
"50";"1654";"94"
"50";"1566";"95"
"50";"1652";"96"
"50";"1182";"97"
"50";"181";"98"
"50";"2230";"99"
"50";"2236";"100"
"50";"975";"101"
"50";"1099";"102"
"50";"972";"103"
"50";"2298";"104"
"50";"2299";"105"
"50";"5100";"111"
"50";"5239";"117"
"50";"5351";"121"
"50";"4465";"123"
"51";"836";"10"
"51";"837";"11"
"51";"850";"11"
"51";"2152";"11"
"51";"828";"12"
"51";"851";"12"
"51";"829";"13"
"51";"854";"13"
"51";"909";"14"
"51";"2153";"14"
"51";"910";"15"
"51";"855";"16"
"51";"908";"16"
"51";"4463";"17"
"51";"4529";"17"
"51";"830";"18"
"51";"831";"19"
"51";"171";"20"
"51";"1819";"20"
"51";"1166";"21"
"51";"1611";"22"
"51";"4464";"22"
"51";"905";"23"
"51";"907";"24"
"51";"906";"26"
"51";"1092";"27"
"51";"1190";"27"
"51";"845";"28"
"51";"846";"29"
"51";"1236";"30"
"51";"1132";"32"
"51";"1585";"32"
"51";"1589";"34"
"51";"1125";"35"
"51";"1237";"36"
"51";"1235";"37"
"51";"1234";"38"
"51";"843";"39"
"51";"1526";"39"
"51";"1524";"40"
"51";"1525";"41"
"51";"1523";"43"
"51";"1711";"45"
"51";"1780";"46"
"51";"1781";"47"
"51";"844";"48"
"51";"1710";"48"
"51";"1783";"49"
"51";"1782";"50"
"51";"1784";"51"
"51";"1792";"51"
"51";"810";"52"
"51";"812";"53"
"51";"1214";"54"
"51";"811";"55"
"51";"1270";"56"
"51";"1294";"59"
"51";"1629";"59"
"51";"1785";"59"
"51";"1630";"60"
"51";"1197";"61"
"51";"1054";"62"
"51";"1484";"64"
"51";"1427";"65"
"51";"1341";"66"
"51";"1631";"67"
"51";"1660";"67"
"51";"1198";"68"
"51";"1456";"69"
"51";"1048";"71"
"51";"1467";"71"
"51";"368";"73"
"51";"1060";"74"
"51";"820";"75"
"51";"1065";"75"
"51";"1120";"76"
"51";"1332";"77"
"51";"1354";"78"
"51";"1355";"79"
"51";"1396";"80"
"51";"1036";"81"
"51";"1650";"82"
"51";"1649";"83"
"51";"1024";"84"
"51";"1648";"85"
"51";"1010";"86"
"51";"1023";"87"
"51";"1793";"88"
"51";"1647";"89"
"51";"994";"90"
"51";"988";"91"
"51";"859";"92"
"51";"819";"93"
"51";"858";"94"
"51";"818";"95"
"51";"817";"96"
"51";"816";"97"
"51";"1654";"98"
"51";"1566";"99"
"51";"875";"100"
"51";"1652";"101"
"51";"1182";"102"
"51";"1110";"103"
"51";"2230";"104"
"51";"2236";"105"
"51";"1099";"106"
"51";"975";"107"
"51";"972";"108"
"51";"5092";"111"
"51";"5239";"113"
"51";"5351";"114"
"52";"419";"10"
"52";"420";"11"
"52";"461";"11"
